gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
S100A7	5.3639	6.8160	1.4522	3.81e-07	1.57e-03	up	yes
S100A8	5.2084	7.2374	2.0290	4.02e-06	3.90e-03	up	yes
S100A9	4.8574	7.3626	2.5052	3.06e-05	9.15e-03	up	yes
SPRR2B	4.5163	5.1148	0.5985	1.26e-06	2.89e-03	up	yes
SPRR2E	4.4917	6.5497	2.0580	2.85e-05	9.04e-03	up	yes
SPRR2A	4.4857	5.3989	0.9133	2.66e-06	3.82e-03	up	yes
PI3	4.3597	5.6498	1.2900	4.85e-06	4.04e-03	up	yes
CALML5	4.3542	6.8648	2.5106	2.88e-06	3.82e-03	up	yes
SERPINB4	4.2414	5.0825	0.8411	1.20e-05	6.10e-03	up	yes
S100A7A	4.2154	4.8128	0.5974	1.27e-05	6.15e-03	up	yes
KRT2	4.2125	7.0245	2.8120	1.84e-05	7.44e-03	up	yes
PCSK5	4.1053	8.4843	4.3790	2.05e-06	3.82e-03	up	yes
SPRR2D	3.9367	5.3671	1.4304	3.03e-05	9.15e-03	up	yes
CST7	3.8650	5.2182	1.3532	3.12e-07	1.57e-03	up	yes
TIGIT	3.6142	4.8266	1.2124	1.14e-06	2.89e-03	up	yes
KLK8	3.3465	5.0828	1.7363	8.17e-06	5.19e-03	up	yes
CCDC141	3.3008	4.9495	1.6487	2.52e-06	3.82e-03	up	yes
PSTPIP1	3.2355	4.7706	1.5352	7.94e-06	5.19e-03	up	yes
GNLY	3.2344	4.2893	1.0549	4.27e-07	1.57e-03	up	yes
DSC1	3.2341	5.6586	2.4245	1.73e-05	7.43e-03	up	yes
CXCR6	3.2292	4.6056	1.3764	3.48e-05	9.88e-03	up	yes
SPRR2F	3.1019	3.3890	0.2870	2.41e-06	3.82e-03	up	yes
TSTD1	2.8790	5.3963	2.5173	3.07e-05	9.15e-03	up	yes
SLC16A10	2.8725	5.0403	2.1677	4.41e-06	4.04e-03	up	yes
IL2RA	2.7186	3.6297	0.9112	3.18e-06	3.85e-03	up	yes
DEFB4A	2.6319	2.8246	0.1927	5.26e-06	4.04e-03	up	yes
CD2	2.5779	4.4081	1.8302	3.08e-05	9.15e-03	up	yes
OAS1	2.4711	6.6707	4.1996	5.20e-06	4.04e-03	up	yes
IGFLR1	2.4228	4.6565	2.2337	2.48e-05	8.36e-03	up	yes
CTLA4	2.3117	3.0334	0.7217	4.02e-06	3.90e-03	up	yes
NPFFR1	2.1231	3.1825	1.0593	7.72e-06	5.19e-03	up	yes
SERPINH1	-2.9861	3.5998	6.5859	3.60e-05	9.88e-03	down	yes
RCN1	-2.9367	3.2631	6.1998	1.07e-05	5.77e-03	down	yes
SLC2A3	-2.6603	3.5834	6.2436	1.23e-05	6.10e-03	down	yes
P4HA1	-2.5979	3.3600	5.9579	1.44e-05	6.48e-03	down	yes
TMEM263	-2.5483	2.4335	4.9817	3.70e-06	3.90e-03	down	yes
LASP1	-2.5387	4.1255	6.6642	1.91e-05	7.48e-03	down	yes
ITGB1	-2.5089	6.8207	9.3296	4.81e-06	4.04e-03	down	yes
PTTG1IP	-2.4179	4.6038	7.0217	2.02e-05	7.61e-03	down	yes
SMARCA1	-2.3979	2.3881	4.7859	1.36e-05	6.28e-03	down	yes
VIM	-2.3332	8.1866	10.5197	9.74e-06	5.48e-03	down	yes
HEBP1	-2.0028	2.6010	4.6038	2.23e-05	8.21e-03	down	yes
