gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
FGA	5.4421	1901.4753	5.7353	4.53e-07	8.44e-06	up	yes
MAGEA12	5.3091	55.2654	2.3529	1.37e-10	8.06e-09	up	yes
AFP	5.2303	10878.9198	37.1618	8.51e-16	1.85e-13	up	yes
FGG	4.9687	1512.0988	14.4412	5.21e-07	9.58e-06	up	yes
AHSG	4.9437	1632.5741	6.6324	1.40e-18	6.02e-16	up	yes
CCL4	4.9418	1412.1975	5.6324	2.69e-18	1.09e-15	up	yes
CCL4L2	4.6339	762.8765	1.1618	3.60e-14	5.27e-12	up	yes
RGS1	4.3803	976.7346	49.5147	7.06e-23	6.50e-20	up	yes
USP17L23	4.1426	7.0185	0.1029	7.40e-04	3.97e-03	up	yes
CXCL9	4.0792	1322.5926	10.2353	5.69e-10	2.72e-08	up	yes
USP17L20	4.0776	12.2222	1.5000	4.32e-07	8.17e-06	up	yes
CCL3	3.9438	666.9568	2.6324	1.42e-09	6.01e-08	up	yes
RNASEK-C17ORF49	3.8597	1478.9506	35.7500	2.72e-24	2.92e-21	up	yes
HLA-DQB1	3.8581	227.8395	42.2794	6.70e-13	7.53e-11	up	yes
C1QB	3.8330	2433.1481	160.2059	1.88e-13	2.46e-11	up	yes
C1QC	3.7796	2101.2654	129.7941	4.11e-12	3.58e-10	up	yes
APOC2	3.7036	747.5370	59.6324	4.49e-20	2.71e-17	up	yes
PLVAP	3.5950	163.2531	12.5588	4.99e-17	1.42e-14	up	yes
FCGR1A	3.5846	663.1852	42.9118	1.22e-17	4.07e-15	up	yes
C1QA	3.5834	1503.0494	112.7353	1.34e-12	1.37e-10	up	yes
FGB	3.4914	2267.8704	19.9559	1.35e-14	2.19e-12	up	yes
LILRB2	3.4638	9.6543	0.5882	1.48e-06	2.32e-05	up	yes
ADORA3	3.4589	250.2346	22.4559	4.81e-14	6.93e-12	up	yes
APBB1IP	3.4439	474.7531	62.5588	1.34e-17	4.32e-15	up	yes
KLF2	3.4310	897.8395	62.1618	4.27e-27	8.25e-24	up	yes
PLA2G2A	3.4258	132.8951	6.7794	3.98e-09	1.48e-07	up	yes
SHOX2	3.3998	64.5494	6.5588	1.71e-16	4.20e-14	up	yes
IL1B	3.3980	428.1667	17.6471	6.69e-17	1.85e-14	up	yes
USP17L24	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L25	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L26	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L27	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L28	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L29	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
USP17L30	3.3846	2.6481	0.2794	2.58e-05	2.53e-04	up	yes
IGLL5	3.3840	52.8765	0.4412	5.22e-04	2.98e-03	up	yes
LY86	3.2825	141.5802	20.2353	6.70e-13	7.53e-11	up	yes
ABI3	3.2432	204.1481	26.6471	1.78e-16	4.28e-14	up	yes
TYROBP	3.2408	939.9630	81.9853	2.05e-10	1.13e-08	up	yes
NMUR2	3.1810	159.4198	24.3824	2.53e-14	3.91e-12	up	yes
CH25H	3.1778	618.5864	22.2353	1.24e-17	4.08e-15	up	yes
TUBA3C	3.1486	7.9691	0.6471	5.91e-04	3.30e-03	up	yes
SERPINA6	3.1472	118.6914	1.1029	1.89e-03	8.53e-03	up	yes
MAGEA11	3.1268	17.8827	0.3088	6.50e-04	3.57e-03	up	yes
FCGR3A	3.1208	959.3704	134.8382	3.58e-11	2.38e-09	up	yes
CX3CR1	3.1125	902.7531	91.8676	2.00e-12	1.93e-10	up	yes
HCLS1	3.1112	552.0864	95.9118	2.00e-17	6.25e-15	up	yes
AIF1	3.1099	623.6605	27.1912	1.06e-09	4.65e-08	up	yes
C3AR1	3.1010	399.4691	35.8382	1.84e-15	3.56e-13	up	yes
CCR2	3.0981	10.6914	1.1176	1.15e-08	3.76e-07	up	yes
GZMK	3.0973	4.4568	2.0441	1.15e-05	1.30e-04	up	yes
FOS	3.0865	6138.7963	1544.2647	2.60e-19	1.25e-16	up	yes
CLEC9A	3.0782	44.6852	8.2794	1.00e-10	6.02e-09	up	yes
CCL26	3.0726	22.1235	1.5147	4.40e-07	8.27e-06	up	yes
HOXB13	3.0672	16.7716	0.8824	5.23e-05	4.54e-04	up	yes
CALHM6	3.0669	143.0062	10.2794	9.29e-20	5.13e-17	up	yes
ADIRF	3.0559	1048.7284	172.6471	3.20e-12	2.89e-10	up	yes
STRIT1	3.0510	86.7531	17.5294	3.25e-15	5.98e-13	up	yes
KCNK15	3.0495	262.0679	24.2059	2.30e-15	4.32e-13	up	yes
CD2	3.0445	19.2716	4.6176	1.01e-08	3.38e-07	up	yes
EGR1	3.0321	4459.8580	1653.3971	2.96e-21	2.39e-18	up	yes
CD74	3.0095	10769.1852	1266.1029	7.70e-17	2.01e-14	up	yes
SLPI	2.9949	1254.2901	42.6912	2.47e-09	9.79e-08	up	yes
LILRB4	2.9934	97.3210	14.6618	8.55e-09	2.90e-07	up	yes
UGT2B11	2.9849	230.2716	4.4853	2.67e-09	1.04e-07	up	yes
TMIGD3	2.9817	386.6481	47.6176	3.41e-11	2.29e-09	up	yes
FPR1	2.9788	493.4444	52.1471	3.39e-21	2.62e-18	up	yes
PLD4	2.9696	405.7778	38.9706	6.80e-19	3.20e-16	up	yes
CXCR1	2.9621	5.9815	2.5294	7.44e-07	1.29e-05	up	yes
HLA-DRA	2.9279	299.1728	36.0735	2.53e-04	1.64e-03	up	yes
RGS18	2.9171	49.9938	8.2353	6.30e-12	5.25e-10	up	yes
FAM47A	2.9152	7.5556	3.1029	8.01e-07	1.37e-05	up	yes
EGR2	2.8960	324.6049	75.9118	1.50e-16	3.77e-14	up	yes
CXCL10	2.8674	713.1481	37.2647	1.44e-08	4.60e-07	up	yes
OR7A5	2.8579	42.1975	6.5882	1.71e-07	3.77e-06	up	yes
NKG7	2.8400	50.5247	16.9412	2.57e-12	2.43e-10	up	yes
CCR5	2.8380	153.1667	3.7647	8.80e-10	4.00e-08	up	yes
LAPTM5	2.8237	1829.6111	298.7794	2.69e-11	1.86e-09	up	yes
CD3E	2.8155	18.6420	10.9265	1.28e-07	2.93e-06	up	yes
HLA-DRB4	2.8118	114.5988	13.7353	3.84e-04	2.31e-03	up	yes
APOC1	2.8116	1231.9753	176.2794	1.32e-15	2.69e-13	up	yes
LYPD4	2.7928	128.2407	8.9412	6.98e-12	5.67e-10	up	yes
SELPLG	2.7901	403.6358	77.5882	7.99e-19	3.59e-16	up	yes
CD86	2.7632	171.8704	22.8382	6.88e-11	4.27e-09	up	yes
VSIG4	2.7597	688.2901	75.7500	2.18e-07	4.64e-06	up	yes
TAF11L10	2.7580	4.1852	0.5735	1.09e-04	8.28e-04	up	yes
TAF11L5	2.7580	4.1852	0.5735	1.09e-04	8.28e-04	up	yes
MGP	2.7576	1714.3210	218.5441	8.99e-15	1.48e-12	up	yes
HSPA6	2.7532	499.3951	97.2647	5.06e-16	1.14e-13	up	yes
PADI2	2.7397	2870.8025	1409.1324	4.27e-13	5.16e-11	up	yes
HCST	2.7370	201.4444	22.7500	3.78e-16	8.60e-14	up	yes
GZMH	2.7317	13.5370	3.5441	9.59e-07	1.60e-05	up	yes
TREM2	2.7256	697.2160	41.8088	5.21e-08	1.38e-06	up	yes
LILRA1	2.7155	18.5432	2.2941	6.60e-07	1.17e-05	up	yes
FCGR2A	2.7143	1033.1975	149.0882	7.57e-16	1.66e-13	up	yes
FAM177B	2.7133	86.9444	9.6912	2.00e-12	1.93e-10	up	yes
CCL3L1	2.7023	54.7284	2.0588	9.05e-06	1.07e-04	up	yes
MNDA	2.6948	181.5123	40.1618	2.53e-10	1.35e-08	up	yes
HLA-DRB5	2.6906	134.1296	58.0735	1.50e-05	1.61e-04	up	yes
FCER1A	2.6781	5.9938	1.0147	1.19e-04	8.90e-04	up	yes
ASB17	2.6746	7.8272	0.7353	4.04e-06	5.41e-05	up	yes
HOXD9	2.6680	43.0370	1.5588	1.92e-05	1.98e-04	up	yes
FCER1G	2.6615	811.5617	56.7500	1.44e-14	2.32e-12	up	yes
ZFP36	2.6605	2127.3210	504.1029	7.09e-15	1.21e-12	up	yes
CD33	2.6593	153.6975	24.4265	1.72e-16	4.20e-14	up	yes
USP17L15	2.6560	125.9506	34.0735	7.64e-07	1.32e-05	up	yes
CD69	2.6506	75.5679	9.6471	6.30e-11	3.94e-09	up	yes
GIMAP4	2.6388	337.9691	118.8971	1.69e-08	5.27e-07	up	yes
GGTA1	2.6373	213.3148	70.0294	1.53e-13	2.01e-11	up	yes
FFAR3	2.6332	10.8580	1.5294	7.21e-06	8.82e-05	up	yes
SCARA5	2.6274	736.0000	23.0588	8.39e-11	5.12e-09	up	yes
SLC4A1	2.6207	574.9136	52.7647	1.68e-15	3.34e-13	up	yes
IFITM2	2.6179	961.4259	256.3971	1.10e-15	2.28e-13	up	yes
NKX6-2	2.6095	2619.6605	396.3235	1.56e-09	6.51e-08	up	yes
MS4A14	2.5948	59.5988	10.5882	1.59e-09	6.60e-08	up	yes
PTPRC	2.5916	886.4012	164.1912	4.35e-13	5.19e-11	up	yes
RASL11A	2.5878	250.4506	59.2206	8.11e-21	5.41e-18	up	yes
ESM1	2.5772	145.5123	16.0735	9.37e-08	2.25e-06	up	yes
NLRP4	2.5759	5.6420	1.2941	2.04e-05	2.09e-04	up	yes
RASAL3	2.5739	114.9074	22.5294	1.37e-12	1.40e-10	up	yes
CD53	2.5666	506.5062	125.1618	3.36e-11	2.27e-09	up	yes
RNASE6	2.5657	114.6790	17.5735	2.49e-08	7.30e-07	up	yes
SUSD3	2.5565	75.1358	15.1324	6.98e-11	4.31e-09	up	yes
SRGN	2.5475	1279.8642	250.2059	4.98e-09	1.79e-07	up	yes
CD300C	2.5455	31.7346	4.1912	1.93e-08	5.94e-07	up	yes
