gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
DSG1	12.3929	333.6760	2.5469	4.19e-71	8.61e-70	up	yes
GOLGA6L6	9.5050	28.6780	0.9792	1.30e-64	2.03e-63	up	yes
KLK3	9.3547	11.3400	0.1875	2.01e-50	1.96e-49	up	yes
ST8SIA3	9.0414	13.7520	0.3542	3.42e-87	1.47e-85	up	yes
OR51G2	9.0207	9.4380	0.3958	7.50e-47	6.45e-46	up	yes
HNRNPCL3	8.9851	7.7980	0.0104	4.96e-37	3.10e-36	up	yes
OR4K1	8.7694	6.5360	0.0208	2.03e-32	1.09e-31	up	yes
KRTAP19-3	8.7425	6.2380	0.0000	8.68e-28	3.96e-27	up	yes
CYLC1	8.6541	6.8320	0.0677	7.19e-36	4.33e-35	up	yes
GOLGA6L24P	8.6148	8.4500	0.7292	2.59e-18	8.21e-18	up	yes
ANKRD30A	8.5962	15.1160	0.4896	2.90e-84	1.09e-82	up	yes
OPRPN	8.5854	6.8780	0.0781	4.90e-43	3.71e-42	up	yes
OR5D3P	8.5715	6.0640	0.2448	1.29e-35	7.68e-35	up	yes
MGAT4D	8.5673	8.1220	0.3438	6.39e-53	6.71e-52	up	yes
OR4A15	8.5523	5.3780	0.0000	5.65e-26	2.42e-25	up	yes
OR56A3	8.5307	7.7000	0.0990	1.64e-72	3.56e-71	up	yes
OR6P1	8.5083	5.8760	0.0260	3.66e-40	2.54e-39	up	yes
OR4M1	8.4799	7.6620	0.8385	8.75e-58	1.08e-56	up	yes
CRISP1	8.4798	6.2160	0.5938	3.82e-44	3.00e-43	up	yes
SPATA16	8.4785	6.6660	0.0938	8.13e-54	8.77e-53	up	yes
OR6C3	8.4642	5.3580	0.0052	2.24e-32	1.20e-31	up	yes
OR6N2	8.4539	7.3460	0.1198	4.30e-45	3.49e-44	up	yes
TSBP1	8.4115	9.5180	0.1510	9.44e-79	2.69e-77	up	yes
OR52A5	8.4075	6.6160	0.1250	4.09e-39	2.75e-38	up	yes
TOPAZ1	8.3827	7.7280	0.4531	1.72e-67	3.04e-66	up	yes
OR8J2	8.3279	5.3540	0.0312	6.00e-34	3.39e-33	up	yes
OR4K5	8.3160	4.5640	0.0000	6.68e-30	3.28e-29	up	yes
MC2R	8.3032	107.6660	4.3750	1.95e-168	4.21e-165	up	yes
TCHHL1	8.2899	6.4240	0.5052	1.39e-66	2.35e-65	up	yes
RNASE9	8.2895	5.8140	0.0938	1.19e-41	8.59e-41	up	yes
S100A7A	8.2831	7.4140	0.6094	3.22e-50	3.11e-49	up	yes
FOXR2	8.2654	5.7220	0.3229	1.77e-39	1.20e-38	up	yes
OR4F5	8.2637	7.9600	0.8385	1.61e-45	1.31e-44	up	yes
SI	8.2533	9.3120	1.4010	8.00e-51	7.89e-50	up	yes
DGKK	8.2327	8.8300	0.2656	1.83e-80	5.64e-79	up	yes
OR10D3	8.2316	8.0520	0.3906	7.02e-75	1.69e-73	up	yes
ZNF804B	8.2311	7.2920	0.1406	4.22e-51	4.20e-50	up	yes
OR6K2	8.2141	4.4820	0.1406	1.95e-28	9.13e-28	up	yes
LCE1E	8.2028	8.4200	1.5833	1.96e-42	1.45e-41	up	yes
MAGIX	8.1981	1248.7260	68.1354	3.38e-212	6.55e-208	up	yes
OR9K2	8.1808	5.1440	0.0677	1.46e-34	8.44e-34	up	yes
OR5D18	8.1780	4.2340	0.0000	1.44e-23	5.61e-23	up	yes
OR2T2	8.1472	8.9180	0.1719	4.85e-49	4.49e-48	up	yes
CYLC2	8.1455	29.0080	1.3542	2.61e-128	9.18e-126	up	yes
OR6C68	8.1286	4.0660	0.0000	9.45e-27	4.17e-26	up	yes
SLC6A5	8.1108	9.8920	0.4323	7.58e-84	2.80e-82	up	yes
TCP11X2	8.0836	9.8960	0.9427	3.64e-61	5.05e-60	up	yes
DSG4	8.0547	7.6960	0.5573	3.14e-54	3.43e-53	up	yes
WDR87	8.0444	38.2520	2.6250	4.21e-118	8.45e-116	up	yes
TENT5D	8.0411	6.0080	0.1719	1.62e-47	1.43e-46	up	yes
OR2T29	8.0399	5.5740	0.0208	2.85e-42	2.10e-41	up	yes
PPP4R3C	8.0282	4.3300	0.0469	1.51e-34	8.68e-34	up	yes
SLC17A4	8.0012	7.6120	2.7500	3.56e-78	9.89e-77	up	yes
GPRC6A	7.9888	4.6660	0.2292	2.72e-43	2.07e-42	up	yes
OR14A2	7.9883	9.0260	0.3646	1.09e-77	2.94e-76	up	yes
OR2AP1	7.9681	22.9900	1.3958	7.04e-117	1.35e-114	up	yes
OR5L1	7.9616	3.9660	0.2865	4.69e-26	2.02e-25	up	yes
ANP32D	7.9589	7.4400	0.2396	3.21e-89	1.57e-87	up	yes
OR51F2	7.9377	3.5920	0.0000	4.86e-22	1.78e-21	up	yes
OR51A7	7.9354	4.1460	0.3125	2.78e-33	1.54e-32	up	yes
OR4F6	7.9196	4.1000	0.0521	2.90e-39	1.95e-38	up	yes
OR52J3	7.9087	3.7140	0.0156	2.31e-26	1.00e-25	up	yes
PABPC1L2B	7.9070	3.8440	0.0417	6.53e-27	2.90e-26	up	yes
PWWP4	7.8943	4.8500	0.2708	3.02e-38	1.96e-37	up	yes
OR52N1	7.8860	23.0620	1.0625	2.61e-123	7.67e-121	up	yes
OR5AR1	7.8748	3.4320	0.0052	5.79e-24	2.29e-23	up	yes
OR56A4	7.8726	168.3980	13.8281	2.54e-126	8.06e-124	up	yes
