gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
DSG1	19.5247	424.8500	2.5077	1.17e-05	2.00e-05	up	yes
GOLGA6L6	9.5366	30.1800	0.9641	7.26e-46	8.38e-45	up	yes
KLK3	9.4508	12.2950	0.1846	1.47e-35	1.17e-34	up	yes
ST8SIA3	9.1215	13.9250	0.3538	6.59e-70	2.41e-68	up	yes
OR51G2	9.0862	9.8000	0.3897	1.41e-31	9.62e-31	up	yes
HNRNPCL3	9.0121	7.8150	0.0103	1.00e-22	4.74e-22	up	yes
OR4K1	8.9129	6.9250	0.0205	8.99e-20	3.68e-19	up	yes
KRTAP19-3	8.8154	6.1100	0.0000	4.47e-17	1.59e-16	up	yes
CYLC1	8.7443	7.0550	0.0718	7.38e-23	3.51e-22	up	yes
MGAT4D	8.6972	8.6500	0.3385	6.85e-39	6.15e-38	up	yes
ANKRD30A	8.6949	17.5300	0.4821	1.60e-60	3.58e-59	up	yes
GOLGA6L24P	8.6944	8.4800	0.7179	1.17e-12	3.22e-12	up	yes
OR5D3P	8.6810	6.3850	0.2410	9.71e-22	4.37e-21	up	yes
OR4A15	8.6803	5.7000	0.0000	2.38e-16	8.13e-16	up	yes
OR56A3	8.6533	8.4150	0.0974	1.42e-58	2.88e-57	up	yes
OR6P1	8.6443	6.3050	0.0256	6.15e-28	3.63e-27	up	yes
OPRPN	8.6390	6.9400	0.0769	1.95e-31	1.33e-30	up	yes
OR4M1	8.6374	8.7350	0.8256	6.61e-44	7.15e-43	up	yes
CRISP1	8.5403	6.2450	0.5846	8.65e-29	5.27e-28	up	yes
TOPAZ1	8.5323	8.4300	0.4513	2.47e-54	4.10e-53	up	yes
SPATA16	8.5211	6.9350	0.0923	1.26e-38	1.12e-37	up	yes
OR6N2	8.5180	7.7750	0.1179	1.84e-31	1.25e-30	up	yes
OR6C3	8.5079	5.3700	0.0051	3.34e-19	1.33e-18	up	yes
OR52A5	8.5020	6.9000	0.1231	1.19e-26	6.71e-26	up	yes
OR8J2	8.4817	5.6550	0.0308	1.66e-20	7.08e-20	up	yes
MC2R	8.4528	113.9000	4.3179	3.15e-148	6.77e-145	up	yes
TSBP1	8.4504	10.5800	0.1487	2.64e-65	7.60e-64	up	yes
RNASE9	8.4306	6.0700	0.0923	6.47e-29	3.97e-28	up	yes
OR4F5	8.4234	8.3850	0.8256	6.38e-31	4.24e-30	up	yes
TCHHL1	8.4012	6.8650	0.4974	8.39e-55	1.42e-53	up	yes
OR4K5	8.3862	4.6150	0.0000	5.70e-17	2.02e-16	up	yes
CYLC2	8.3628	29.5000	1.3385	6.14e-115	2.47e-112	up	yes
OR10D3	8.3359	8.1900	0.3846	9.97e-57	1.85e-55	up	yes
ZNF804B	8.3331	7.8450	0.1385	2.22e-34	1.68e-33	up	yes
OR9K2	8.3234	5.6350	0.0667	3.29e-22	1.51e-21	up	yes
SI	8.3102	9.3550	1.3795	1.52e-35	1.21e-34	up	yes
S100A7A	8.2989	7.6650	0.6000	1.31e-40	1.26e-39	up	yes
DGKK	8.2819	9.1200	0.2615	7.30e-64	1.98e-62	up	yes
OR6K2	8.2675	4.5450	0.1385	1.06e-16	3.68e-16	up	yes
OR2T2	8.2635	10.7700	0.1692	1.62e-36	1.33e-35	up	yes
FOXR2	8.2597	5.6300	0.3179	1.51e-27	8.80e-27	up	yes
SLC6A5	8.2270	10.5250	0.4256	2.76e-71	1.07e-69	up	yes
OR5D18	8.1965	4.0200	0.0000	1.74e-13	5.02e-13	up	yes
LCE1E	8.1950	8.4500	1.5590	2.91e-30	1.88e-29	up	yes
OR6C68	8.1797	4.0500	0.0000	1.77e-16	6.09e-16	up	yes
TCP11X2	8.1596	10.2850	0.9282	6.86e-47	8.20e-46	up	yes
DSG4	8.1474	8.0250	0.5487	2.03e-41	2.01e-40	up	yes
SLC17A4	8.1327	8.0600	2.7077	3.43e-64	9.45e-63	up	yes
OR2T29	8.1280	5.7400	0.0205	2.22e-30	1.44e-29	up	yes
MAGIX	8.1242	1122.8250	67.2103	8.10e-199	1.57e-194	up	yes
DSC1	8.0826	141.8000	1.1846	1.17e-90	1.52e-88	up	yes
OR4F6	8.0778	4.4250	0.0513	2.66e-28	1.60e-27	up	yes
OR14A2	8.0750	9.6550	0.3590	4.61e-57	8.67e-56	up	yes
ANP32D	8.0569	7.9600	0.2359	3.64e-74	1.75e-72	up	yes
OR51F2	8.0358	3.7500	0.0000	4.48e-14	1.34e-13	up	yes
GPRC6A	8.0350	4.7550	0.2256	6.17e-30	3.93e-29	up	yes
TENT5D	8.0338	5.8900	0.1692	2.25e-38	1.98e-37	up	yes
OR2AP1	8.0301	22.3700	1.3744	7.43e-98	1.36e-95	up	yes
OR5L1	8.0237	3.9700	0.2821	4.96e-16	1.67e-15	up	yes
PPP4R3C	8.0163	4.1950	0.0462	9.36e-24	4.65e-23	up	yes
OR5AR1	7.9936	3.6400	0.0051	3.66e-15	1.17e-14	up	yes
OR10H3	7.9860	4.0750	0.0410	1.10e-19	4.48e-19	up	yes
PWWP4	7.9760	4.9650	0.2667	2.23e-25	1.19e-24	up	yes
OR4A8	7.9680	3.7400	0.0154	1.89e-18	7.24e-18	up	yes
OR51A7	7.9662	4.2950	0.3077	4.13e-24	2.08e-23	up	yes
NEUROD4	7.9220	4.9700	0.2821	7.11e-28	4.19e-27	up	yes
OR51A4	7.9196	11.7750	1.0872	3.06e-51	4.42e-50	up	yes
PABPC1L2B	7.9120	3.7950	0.0410	2.88e-19	1.15e-18	up	yes
OR56A4	7.9086	162.5800	13.6205	6.18e-107	1.73e-104	up	yes
DCAF8L2	7.8975	9.8800	0.5231	1.45e-73	6.60e-72	up	yes
OR8J3	7.8918	6.2250	0.2872	1.09e-39	1.01e-38	up	yes
KRTAP6-3	7.8759	3.4250	0.0359	9.60e-15	2.99e-14	up	yes
OR4Q2	7.8667	4.1250	0.1487	6.65e-31	4.42e-30	up	yes
OR52N1	7.8533	23.6600	1.0769	8.25e-104	1.92e-101	up	yes
SPAM1	7.8465	11.9950	0.2308	2.93e-76	1.59e-74	up	yes
CCER1	7.8427	4.6600	0.1641	1.30e-27	7.59e-27	up	yes
OR52J3	7.8383	3.4350	0.0154	1.98e-16	6.80e-16	up	yes
OR10H4	7.8324	3.6550	0.2564	1.02e-22	4.79e-22	up	yes
ADAM7	7.8198	5.6550	0.1436	3.95e-49	5.18e-48	up	yes
SEMG1	7.8164	4.8150	0.2000	4.45e-25	2.33e-24	up	yes
DCAF8L1	7.8164	3.8650	0.1487	1.45e-31	9.86e-31	up	yes
KLHL1	7.8112	4.6250	0.3795	8.75e-23	4.14e-22	up	yes
OR14A16	7.8007	5.8500	0.1436	1.15e-54	1.95e-53	up	yes
OR7A10	7.7944	3.4950	0.0256	8.19e-21	3.53e-20	up	yes
KRTAP21-2	7.7907	5.1950	0.2718	4.39e-27	2.51e-26	up	yes
AFM	7.7794	4.3300	0.1385	1.22e-26	6.86e-26	up	yes
BMP10	7.7720	11.0500	0.5641	7.42e-57	1.38e-55	up	yes
OR2M2	7.7683	3.9250	0.0769	5.69e-18	2.12e-17	up	yes
OR4D2	7.7460	3.7600	0.0308	8.97e-35	6.91e-34	up	yes
OR4B1	7.7316	3.0450	0.0000	3.64e-20	1.52e-19	up	yes
OR6C65	7.7244	3.0750	0.0000	1.71e-16	5.89e-16	up	yes
SLC17A2	7.7226	4.6100	0.1744	7.87e-30	4.99e-29	up	yes
CSN3	7.7177	3.6550	0.0821	5.03e-24	2.53e-23	up	yes
ANKRD66	7.7022	6.0300	0.3333	4.84e-35	3.76e-34	up	yes
TRIM51	7.6975	5.0850	0.2205	3.73e-26	2.05e-25	up	yes
NPS	7.6807	3.2350	0.0410	5.06e-19	1.99e-18	up	yes
OR10AG1	7.6796	7.4950	0.4410	4.25e-67	1.34e-65	up	yes
POTEB	7.6796	4.0450	0.0872	3.28e-28	1.96e-27	up	yes
OR14C36	7.6754	2.9800	0.0000	5.82e-16	1.95e-15	up	yes
SPATA31D1	7.6642	4.5100	0.7179	5.99e-29	3.68e-28	up	yes
OR2G3	7.6595	3.3400	0.0000	2.26e-24	1.15e-23	up	yes
SPHKAP	7.6572	12.3850	2.2974	1.33e-63	3.59e-62	up	yes
OR51C1P	7.6516	3.5200	0.0359	2.33e-30	1.51e-29	up	yes
OR13C5	7.6434	3.2950	0.0513	5.17e-24	2.60e-23	up	yes
OR5M1	7.6419	4.7450	0.1436	4.92e-26	2.70e-25	up	yes
OR4D10	7.6275	3.5400	0.0564	1.25e-25	6.75e-25	up	yes
WDR87	7.6098	40.3400	2.6051	1.06e-85	9.92e-84	up	yes
OR11A1	7.6080	4.3350	0.0103	8.14e-18	3.00e-17	up	yes
OR5L2	7.6047	2.8650	0.0000	3.49e-16	1.18e-15	up	yes
PGLYRP3	7.6035	229.9100	12.2103	7.56e-141	1.22e-137	up	yes
OR4S2	7.6014	2.7900	0.0000	2.72e-17	9.75e-17	up	yes
OR51T1	7.5917	2.8450	0.0000	4.01e-16	1.35e-15	up	yes
HTR5A	7.5732	3.6850	0.0359	3.24e-32	2.28e-31	up	yes
OR11H2	7.5683	3.2800	0.0513	7.73e-22	3.49e-21	up	yes
OR1S2	7.5612	3.1450	0.0103	2.31e-18	8.80e-18	up	yes
MEPE	7.5596	6.3600	0.3179	9.85e-42	9.90e-41	up	yes
