study_id,study_title,assay,go_id,go_term_name,adj_pvalue
E-GEOD-60424,E-GEOD-60424,https://spoke.ucsf.edu/genelab/E-GEOD-60424-g17_g18,GO:0002181,cytoplasmic translation,0.0
E-GEOD-51878,E-GEOD-51878,https://spoke.ucsf.edu/genelab/E-GEOD-51878-g1_g2,GO:0002181,cytoplasmic translation,1.8004333E-35
E-GEOD-53280,E-GEOD-53280,https://spoke.ucsf.edu/genelab/E-GEOD-53280-g2_g1,GO:0002181,cytoplasmic translation,4.0362164E-34
E-GEOD-57116,E-GEOD-57116,https://spoke.ucsf.edu/genelab/E-GEOD-57116-g3_g2,GO:0002181,cytoplasmic translation,1.629338E-30
E-GEOD-60424,E-GEOD-60424,https://spoke.ucsf.edu/genelab/E-GEOD-60424-g5_g3,GO:0002181,cytoplasmic translation,2.6704023E-28
E-GEOD-56788,E-GEOD-56788,https://spoke.ucsf.edu/genelab/E-GEOD-56788-g2_g15,GO:0002181,cytoplasmic translation,6.159195E-28
E-GEOD-23336,E-GEOD-23336,https://spoke.ucsf.edu/genelab/E-GEOD-23336-g2_g1,GO:0032543,mitochondrial translation,3.778563E-22
E-GEOD-41586,E-GEOD-41586,https://spoke.ucsf.edu/genelab/E-GEOD-41586-g3_g1,GO:0002181,cytoplasmic translation,6.9836185E-21
E-GEOD-57728,E-GEOD-57728,https://spoke.ucsf.edu/genelab/E-GEOD-57728-g4_g2,GO:0070125,mitochondrial translational elongation,5.50574E-19
E-GEOD-32706,E-GEOD-32706,https://spoke.ucsf.edu/genelab/E-GEOD-32706-g1_g3,GO:0006695,cholesterol biosynthetic process,1.1629522E-18
E-GEOD-57027,E-GEOD-57027,https://spoke.ucsf.edu/genelab/E-GEOD-57027-g1_g2,GO:0002181,cytoplasmic translation,2.9318712E-17
E-GEOD-44674,E-GEOD-44674,https://spoke.ucsf.edu/genelab/E-GEOD-44674-g4_g10,GO:0002181,cytoplasmic translation,6.649701E-17
E-GEOD-44674,E-GEOD-44674,https://spoke.ucsf.edu/genelab/E-GEOD-44674-g4_g1,GO:0002181,cytoplasmic translation,8.0974285E-17
E-GEOD-41586,E-GEOD-41586,https://spoke.ucsf.edu/genelab/E-GEOD-41586-g3_g2,GO:0002181,cytoplasmic translation,2.721236E-16
E-GEOD-48767,E-GEOD-48767,https://spoke.ucsf.edu/genelab/E-GEOD-48767-g2_g1,GO:0015995,chlorophyll biosynthetic process,4.84304E-16
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g4_g13,GO:0016126,sterol biosynthetic process,4.902755E-16
E-GEOD-45684,E-GEOD-45684,https://spoke.ucsf.edu/genelab/E-GEOD-45684-g4_g13,GO:0006695,cholesterol biosynthetic process,1.0819098E-15
E-GEOD-52194,E-GEOD-52194,https://spoke.ucsf.edu/genelab/E-GEOD-52194-g3_g2,GO:0002181,cytoplasmic translation,2.0014076E-15
E-GEOD-35288,E-GEOD-35288,https://spoke.ucsf.edu/genelab/E-GEOD-35288-g2_g1,GO:0002181,cytoplasmic translation,2.259359E-15
E-GEOD-32706,E-GEOD-32706,https://spoke.ucsf.edu/genelab/E-GEOD-32706-g1_g3,GO:0016126,sterol biosynthetic process,1.5833092E-14
