gene_symbol,study_id,assay_id,log2fc,adj_pvalue,test_group,ref_group,go_terms
IL36A,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',10.700,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
DEFB4A,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',10.200,0.00e+00,lesional skin; psoriasis,normal; normal,
SPRR2C,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',9.400,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
IL19,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',9.300,0.00e+00,lesional skin; psoriasis,normal; normal,
PI3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
AC130360.2,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
HSPD1P3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
VNN3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.300,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
S100A12,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.100,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
SPRR2F,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',8.100,0.00e+00,lesional skin; psoriasis,normal; normal,
CXCL11,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',8.000,4.89e-12,normal; injection of interferon gamma,normal; none,GO:0009615
CXCL8,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',7.900,0.00e+00,lesional skin; psoriasis,normal; normal,
TCN1,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',7.800,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
CXCL11,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'psoriasis',7.700,4.70e-12,psoriasis; injection of interferon gamma,psoriasis; none,GO:0009615
TMPRSS11D,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',7.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
SPRR2B,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',7.300,0.00e+00,lesional skin; psoriasis,normal; normal,
PI3,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',7.200,2.51e-18,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
TNIP3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',7.100,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
S100A7A,E-GEOD-41662,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.900,3.01e-22,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
SPRR2A,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.900,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
S100A7A,E-GEOD-53552,'lesional' vs 'non-lesional' in 'none' at '0 day',6.800,8.64e-23,0 day; lesional; none,0 day; non-lesional; none,GO:0070268; GO:0031424; GO:0009615
KRT6C,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.800,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
S100A7,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.800,0.00e+00,lesional skin; psoriasis,normal; normal,
S100A9,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.800,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
S100A7A,E-GEOD-34248,'psoriasis lesional skin' vs 'psoriasis non-lesional skin',6.700,3.32e-07,lesional,non-lesional,GO:0070268; GO:0031424; GO:0009615
CXCL10,E-GEOD-52471,'cutaneous lupus erythematosus' vs 'normal' in 'Ovation RNA Amplification V2 kit',6.600,1.88e-06,Ovation RNA Amplification V2 kit; cutaneous lupus erythematosus,Ovation RNA Amplification V2 kit; normal,GO:0009615
CXCL9,E-GEOD-32407,'injection of interferon gamma' vs 'none' in 'normal',6.600,1.84e-10,normal; injection of interferon gamma,normal; none,GO:0009615
S100A9,E-GEOD-52471,'psoriasis' vs 'normal' in 'Affy RNA amplification kit',6.600,4.08e-11,Affy RNA amplification kit; psoriasis,Affy RNA amplification kit; normal,GO:0070268; GO:0031424; GO:0009615
S100A8,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
SERPINB3,E-GEOD-54456,'psoriasis; lesional skin' vs 'normal; normal',6.600,0.00e+00,lesional skin; psoriasis,normal; normal,GO:0070268; GO:0031424; GO:0009615
